Site ID,Location Description,Speed Limit,Reason Code(s),Latitude,Longitude,Geo Location,Location Assessment
4289,EB 11A Ave btwn 60 - 56 St,30,Designated Zone - Playground;,53.44046389,-113.42804821,"(53.440463892044015, -113.42804821135914)",https://drive.google.com/file/d/1BM9cOoaNe0zfYjpvN4uipJ9dXY5UGjT8/view?usp=drivesdk
4199,SB 172 St Btwn 64 Ave - N or Callingwood Rd,30,Designated Zone - Playground;,53.49946590,-113.62096005,"(53.4994659041151, -113.62096005447977)",https://drive.google.com/file/d/1yj3AIsL02-lVBo8ihDCenrPbm1yz56wb/view?usp=drivesdk
7219,SB 104 St Btwn University Ave - 73 Ave,50,Higher Frequency of Speeding;,53.51047043,-113.49767867,"(53.51047043068032, -113.49767866587726)",https://drive.google.com/file/d/15maFz6lNfLpQx3RimBoGSXhs0-aohA4S/view?usp=drivesdk
7212,WB Ellerslie Rd SW between 85 - 91 St SW,60,Higher Frequency of Collisions;,53.42498377,-113.46807723,"(53.42498376639928, -113.46807722905109)",https://drive.google.com/file/d/1HGdyMbEoAQPY5XQHA9LNraJN69J7iRXt/view?usp=drivesdk
4093,NB 62 St btwn 144 - 145 Ave,30,Designated Zone - Playground;,53.60608923,-113.43733461,"(53.606089230730554, -113.43733460527618)",https://drive.google.com/file/d/1__WjfllGYpTTTxNygOAptXQ9hf3nuMrn/view?usp=drivesdk
247,WB Yellowhead Trail at 50 St,80,Higher Frequency of Speeding;,53.58249321,-113.41882007,"(53.582493213668364, -113.41882006876673)",https://drive.google.com/file/d/1eJIjWzSCDh6X-iuHsn222ETH-HtOQxVJ/view?usp=drivesdk
4117,SB 76 St south of 40 - 38 Ave,30,Designated Zone - Playground;,53.47490073,-113.45032620,"(53.474900731544125, -113.45032619523234)",https://drive.google.com/file/d/1E_lkjtwaBF0y7QisjYwYY6h_c1LVhbma/view?usp=drivesdk
4213,SB 175 St Btwn 85 - 82 Ave,30,Designated Zone - Playground;,53.51692157,-113.62364254,"(53.51692157132071, -113.62364253516057)",https://drive.google.com/file/d/1WVfVOJGm4GQPZ29DY-CyWAHE7bb2cjo4/view?usp=drivesdk
7204,WB Ellerslie Rd SW between Calgary Tr - 109 St SW,60,Higher Frequency of Collisions;,53.42493883,-113.50195143,"(53.4249388325714, -113.50195142929952)",https://drive.google.com/file/d/1GMf372-Ayw6DNT9urjN84tPDz3zcEC6z/view?usp=drivesdk
2766,SB Fort Rd between 131 - 128 Ave,50,Higher Frequency of Speeding;,53.58825963,-113.43632889,"(53.588259628440895, -113.43632888503222)",https://drive.google.com/file/d/1VTpLQb03caXojOXWVwuEkq5c0xECMQsF/view?usp=drivesdk
